vedetto	fako	senci	nomi_latina	lingui	kodo	pagino	ligno	imago	drapeli
a	d	. Prepoziciono quan onu uzas por indikar la skopo di la ago, la loko quan onu volas atingar, la destinario, la per- sono a qua onu donas, donacas od atribuas ulo. Konseque, lu indikas logikale la obhekto di ta o ca penso o sentimento, opoze a "subjekto" qua recevas li. -a. La litero lasta di adjektivo.				1	9	8	sen-lingui
-ab-		Sufixo qua indikas, che verbo, la anteeso kompare a tempo- punto di epoko pasinta o futuna.				1	17	8	finalo-nekutima,sen-lingui,korektita,ordino-rompita
abado		Superiori di monakeyo (katolika) de viri, di olqua la revenui esis benefico por ilta qua havis la ofico.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	1	20	8	
abako		I. (arkitekt.) Parto supra di la kapitelo di kolono, qua havas la formo di tableto. ¶ II. (matem.) Aparato por kelkulo, de origino Greka, qua konsistas ye tabelo, dividita per ula quanto de ranuri paralela reciproke, en qui povis glitar buli movebla.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	1	23	8	
abandonar	trans	Cesar sua sorgo (di persono, ofico, posteno) sive nevolunte o kontre-vole, sive violacante ula devo. (ex.: abandonar sua filii, sua gepatri, sua posteno).		germana,angla,franca,italiana,hispana	DEFIS	1	29	8	
abaniko		Mi-cirklo de stofo, de papero, de plumi, muntita sur lameli movebla, quan onu desfaldas por agitar la aero cirkum su e tale produktar minvarmeso.		hispana,portugalana	SP	1	33	8	
abasar	trans	Pozar (plu) infre. - (metaf.) (aludante persono) Retroduktar (lu) a rango infra, a situeso sociala min-supra. (Onu abasas su per situar su a rango infra, per adoptar pos- turo humila).		germana,angla,franca,italiana	DEFI	1	37	8	
abatar	trans	Faligar, per plura frapi (ulu od ulo qua stacas).		germana,franca,italiana,hispana	DFIS	1	42	8	korektita
abatiso		Parti acesora di animali (precipue pultro) quin onu buchas por manjo.				1	45	8	sen-lingui
abceso	patol	Kavajo pusoza en la korpo homala. DEFIS.				1	48	8	sen-lingui
abciso	geom	Un ek la du koordinati rekta-linea qui uzesas por determinar la situeso di punto en spaco.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	2	2	9	korektita
abdikar	trans	(pri rejo od altra suvereno). Cesar sua regno per transmisar la autoritato imperala a sucedanto, o naturala, o selektita.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	2	6	9	
abdomino	anat	Korpo-kavajo qua kontenas la viceri digest- tala. (Ta vorto ciencala esas plu preciza kam "ventro").		germana,angla,franca,italiana,hispana	DEFIS	2	10	9	korektita
abduktar		trans.) Movigar parto di la homo-korpo tale ke la movajo eskartesas de la plano mediana di la korpo.		germana,angla,franca,italiana,hispana	DEFIS	2	14	9	
abelo	zool	Insekto himenoptera qua vivas esame e produk- tas mielo e vaxo.	apis mellifica	germana,angla,franca,italiana,hispana	DEFIS	2	17	9	
aberaco		I. (astron.) Deviaceso semblanta di la radii luma qui venas de astro. ¶ II. (fiziko) Disperseso di la radii luma qui trairas lenso.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	2	20	9	
abieto	bot	Arboro rezinifera, di qua la folii nula-sezone divenas flavatra e sika.	abies pectinata	angla,franca,italiana,hispana	EFIS	2	24	9	korektita
abiso		Profundegajo submara.				2	27	9	sen-lingui
abismo		I. Profundegajo qua ne esas mezurebla pro la grand- eso di lua dimensioni. ¶ II. (metaf.)(a) Profundegajo quan spirito ne povas mezurar konceptale. (b) Profundegajo en qua onu esas quaze nihiligata, su-egaranta.		angla,franca,italiana,hispana	EFIS	2	29	9	ordino-rompita
abjekta		Qua esas ye la grado maxim infra di desnobleso, pri la hierarkio sociala e pri lua karaktero personala.		germana,angla,franca,italiana,hispana	DEFIS	2	34	9	korektita
abjurar	trans	I. Renuncar, en su-obligo solena, la religio quan onu profesis til-lore. ¶ II. (metaf.)Renuncar publike to quon onu profesis kredar, amar, prizar.		germana,angla,franca,italiana,hispana	DEFIS	2	37	9	korektita
ablacionar	trans	(kirurg.) Deprenar de la korpo homala (per operaco kirurgiala) parto morboza, malada.		germana,angla,franca,italiana,hispana	DEFIS	2	41	9	
ablaktar	trans	Separar infanteto de lua patrino o de la salariato qua alaktis lu, kande oportas komencar donar a lu alimente nutrivi altra kam lakto.		germana,angla,franca,italiana,hispana	DEFIS	2	44	9	
ablativo	gram	Kazo di la deklino-sistemo Greka, Latina, e c., qua indikas ke substantivo esas la departo-punto, o la instrumento, di ago.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	2	48	9	
ablegato	religio katolika	. Delegito qua komisesis por por- tar la bireto a prelato jus nominita "kardinalo".		germana,angla,franca,italiana	DEFI	2	52	9	
