vedetto	fako	senci	nomi_latina	simbolo_kemiala	lingui	kodo	pagino	ligno	imago	drapeli
a	muziko	La noto sisesma di la « do »-gamo			Germana,Angla	DE	1	7	8	
a(d)		Prepoziciono quan onu uzas por indikar la skopo di la ago, la loko quan onu volas atingar, la destinario, la persono a qua onu donas, donacas od atribuas ulo. Konseque, lu indikas logikale la objekto di ta o ca penso o sentimento, opoze a « subjekto » qua recevas li					1	9	8	sen-lingua
-a		La litero lasta di adjektivo					1	15	8	sen-lingua
-ab-		Sufixo qua indikas, che verbo, la anteeso kompare a tempo-punto di epoko pasinta o futura					1	17	8	sen-lingua
abado		Superiori di monakeyo (katolika) de viri, di olqua la revenui esis benefico por ilta qua havis la ofico			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	1	20	8	
abako		(arkitekt.) Parto supra di la kapitelo di kolono, qua havas la formo di tableto ¶ (matem.) Aparato por kalkulo, de origino Greka, qua konsistas ye tabelo, dividita per ula quanto de ranuri paralela reciproke, en qui povis glitar buli movebla			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	1	23	8	
abandonar	trans.	Cesar sua sorgo (di persono, ofico, posteno) sive nevolunte o kontre-vole, sive violacante ula devo. (ex. : abandonar sua filii, sua gepatri, sua posteno)			Germana,Angla,Franca,Italiana,Hispana	DEFIS	1	29	8	
abaniko		Mi-cirklo de stofo, de papero, de plumi, muntita sur lameli movebla, quan onu desfaldas por agitar la aero cirkum su e tale produktar minvarmeso			Hispana,Portugalana	SP	1	33	8	
abasar	trans.	Pozar (plu) infre. – (metaf.) (aludante persono) Retroduktar (lu) a rango infra, a situeso sociala min-supra. (onu abasas su per situar su a rango infra, per adoptar posturo humila)			Germana,Angla,Franca,Italiana	DEFI	1	37	8	
abatar	trans.	Faligar, per plura frapi (ulu od ulo qua stacas)			Germana,Franca,Italiana,Hispana	DFIS	1	42	8	
abatiso		Parti acesora di animali (precipue pultro) quin onu buchas por manjo					1	45	8	sen-lingua
abceso	patol.	Kavajo pusoza en la korpo homala			Germana,Angla,Franca,Italiana,Hispana	DEFIS	1	48	8	
abciso	geom.	Un ek la du koordinati rekta-linea qui uzesas por determinar la situeso di punto en spaco			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	2	2	9	
abdikar	trans.) (pri rejo od altra suvereno	Cesar sua regno per transmisar la autoritato imperala a sucedanto, o naturala, o selektita			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	2	6	9	
abdomino	anat.	Korpo-kavajo qua kontenas la viceri digestala. (ta vorto ciencala esas plu preciza kam « ventro »)			Germana,Angla,Franca,Italiana,Hispana	DEFIS	2	10	9	
abduktar	trans.	Movigar parto di la homo-korpo tale ke la movajo eskartesas de la plano mediana di la korpo			Germana,Angla,Franca,Italiana,Hispana	DEFIS	2	14	9	
abelo	zool.	Insekto himenoptera qua vivas esame e produktas mielo e vaxo	apis mellifica		Germana,Angla,Franca,Italiana,Hispana	DEFIS	2	17	9	
aberaco		(astron.) Deviaceso semblanta di la radii luma qui venas de astro ¶ (fiziko) Disperseso di la radii luma qui trairas lenso			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	2	20	9	
abieto	bot.	Arboro rezinifera, di qua la folii nula-sezone divenas flavatra e sika	abies pectinata		Angla,Franca,Italiana,Hispana	EFIS	2	24	9	
abiso		Profundegajo submara					2	27	9	sen-lingua
abismo		Profundegajo qua ne esas mezurebla pro la grandeso di lua dimensioni ¶ (metaf.)(a) Profundegajo quan spirito ne povas mezurar konceptale. (b) Profundegajo en qua onu esas quaze nihiligata, su-egaranta			Angla,Franca,Italiana,Hispana	EFIS	2	29	9	
abjekta		Qua esas ye la grado maxim infra di desnobleso, pri la hierarkio sociala e pri lua karaktero personala			Germana,Angla,Franca,Italiana,Hispana	DEFIS	2	34	9	
abjurar	trans.	Renuncar, en su-obligo solena, la religio quan onu profesis til-lore ¶ (metaf.) Renuncar publike to quon onu profesis kredar, amar, prizar			Germana,Angla,Franca,Italiana,Hispana	DEFIS	2	37	9	
ablacionar	trans.) (kirurg.	Deprenar de la korpo homala (per operaco kirurgiala) parto morboza, malada			Germana,Angla,Franca,Italiana,Hispana	DEFIS	2	41	9	
ablaktar	trans.	Separar infanteto de lua patrino o de la salariato qua alaktis lu, kande oportas komencar donar a lu alimente nutrivi altra kam lakto			Germana,Angla,Franca,Italiana,Hispana	DEFIS	2	44	9	
ablativo	gram.	Kazo di la deklino-sistemo Greka, Latina, e c., qua indikas ke substantivo esas la departo-punto, o la instrumento, di ago			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	2	48	9	
ablegato	religio katolika	Delegito qua komisesis por portar la bireto a prelato jus nominita « kardinalo »			Germana,Angla,Franca,Italiana	DEFI	2	52	9	
