# Filets releves que l'oeil ECARTE.
#
# La dactylo souligne le domaine, la locution qui porte sa propre definition,
# le mot cite, le nom scientifique. Le releve, lui, prend aussi ce qui n'est pas
# une intention : le trait d'une ligne voisine, un trait qui deborde d'un mot
# sur le suivant, une rature. L'edition ne peut pas toujours le savoir — un mot
# plein souligne au milieu d'une definition ressemble a un mot cite, et le livre
# en cite beaucoup : « Ido » chez logiko, « ohm » chez volto, « multa » chez
# kelka, ou il oppose « kelka » a « multa » et a « plura ».
#
# On ecarte donc a l'oeil, un par un, avec le motif en regard. Rien n'est
# devine : ce fichier ne fait que RETIRER un releve, jamais en poser un.
#
# La cle est celle de simboli.txt et de latinaji.txt : vedetto@image:ligno.
#
# Une ligne dont le fragment porte des ACCOLADES fait l'inverse : elle POSE
# l'italique la ou le releve n'a rien rendu. L'auteur met en italique le mot
# qu'il CITE ; quand le trait s'est perdu, le lecteur bute — « La omiso di ta
# avan qua esas anakoluto » ne se lit pas sans savoir que « ta » et « qua » y
# sont cites, non employes. Les accolades entourent ce qui prend l'italique, le
# reste est du CONTEXTE, qui donne la place : sans lui, « qua » serait mis en
# italique aux trois endroits ou il parait dans l'article, dont deux ou il est
# un pronom ordinaire.
#
# Une ligne dont le fragment commence par « > » RENDS au releve un filet que la
# lecture n'a pas vu. Il reprend alors le chemin ordinaire : la locution qui
# porte sa propre definition ouvre son alinea, le reste passe en italique. Aucun
# releve du livre ne porte ce signe.
#
# cle	fragment : ecarte, pose entre accolades, ou rendu apres « > »	motif
sordino@550:2	Agar	p543 : le trait du domaine « (metaf.) » deborde sur le premier mot de la definition. « Agar sen bruiso » n'est ni une locution ni un mot cite
ja@253:8	multa	p246 : « Sen vartar til kande fluabos multa tempo » — « multa » n'y est ni oppose ni cite ; le meme filet a laisse « kan » derriere lui, morceau de « kande », qui trahit un trait pose de travers
anakoluto@33:15	La omiso di {ta} avan {qua} esas anakoluto	p026 : l article definit l anacoluthe comme l omission de « ta » devant « qua » ; les deux mots y sont CITES, non employes, et sans l italique la phrase se lit de travers. Le releve du filet n a rendu sur cette ligne que « Qua » — celui du vers de Voltaire — et « est », fragment que rien ne place : le trait etait la, mais lu de travers.
prostezo@473:41	ica	p466 : le trait est BON — l article cite « ica » comme il cite « iscala », « scala », « lierre » et « ierre », tous les quatre en italique. C est la regle des mots-outils qui l ecarte, « ica » etant aussi un demonstratif ordinaire. On le retire donc du releve pour reposer l italique a la ligne suivante, avec le « ca » que le trait n a pas rendu
prostezo@473:41	{ica} vice {ca}, en L.	p466 : « ica vice ca » est la meme demonstration que « iscala vice scala » et « lierre vice ierre » — les quatre mots y sont CITES. Le contexte « , en L. » donne la place : « ca » parait aussi dans « ica », et « ica » n a pas besoin d etre marque deux fois
pseudonima@476:49	>Pseudonimo	p469 : « Pseudonimo : Nomo ne-exakta » est la sous-entree substantive de l article, dont la vedette « pseudonima » est l adjectif. Aucun filet n a ete relevé sur cette ligne — l article n en porte aucun —, et sans lui rien ne distingue la locution d une phrase de la definition.
stelo@558:34	roto	p551 : « quale la spoki di roto » — la roue y est un simple terme de comparaison, ni domaine, ni locution, ni mot cite. Le meme article a laisse « met » derriere lui, morceau de « metaf. » : le trait de ce dernier sens a ete lu de travers
zezear@634:21	pronuncar le {j} quale le {z}, e {sh} quale {s}	p627 : les quatre lettres y sont CITEES — le zezaiement prononce le j comme le z et le sh comme le s. Sans l italique la phrase ne se lit pas, une lettre isolee se prenant pour un mot. Aucun filet n a ete releve sur cette ligne, l article n en porte qu un, sous « netrans. »
longitudo@351:33	disto	p344 : « ...sur la surfaco di la Terglobo : disto de ta loko a la meridiano determinita ». Le mot est employe, non cite, et il parait deux fois dans l article sans que rien le distingue. Le fac-simile de la page ne porte aucun filet a cet endroit : c est un fantome de la mesure, tombe par hasard sur un mot entier.
# --- Les mots pleins qu un fantome de la mesure a mis en italique. Releve
# systematique des italiques qui tiennent en UN mot ordinaire, minuscule,
# etranger a la vedette : soixante-neuf cas, dont ceux-ci, relus sur
# l original par GPhMorin. Le mot y est EMPLOYE, non cite.
# Voir LISEZ-MOI-EDITION.md, « Le filet que l oeil ecarte ».
abrogar@10:51	lego	p003 : « Supresar lego per altra lego, dekreto per altra dekreto ». Le mot revient deux fois dans la phrase et seule la premiere occurrence porte le filet ; un mot cite le serait aux deux.
adjurar@13:54	nomo	p006 : « Sumnar (ulu), ye la nomo di sakrajo ». Le mot est employe, non cite.
algo@24:35	aquo	p017 : « Vejetanto kriptogama qua kreskas en aquo sen-sala ». L eau est le milieu ou pousse l algue, pas un terme cite.
alopatio@26:52	medicino	p019 : « La medicino qua kuracas per la inversaji ». Le mot porte la definition, il n y est pas cite. La formule latine du meme article, « contraria contrariis curantur », garde son italique : elle, l auteur la cite.
antilopo@38:19	kava	p031 : « kun korni ne-kaduka, kava, cirkondanta ». Trois adjectifs de suite, un seul souligne.
kamizolo@264:35	lano	p257 : « Vesto kun maniki, ek telo, lano, e c. ». Une liste de matieres, dont une seule serait citee.
limeto@345:51	mikra	p338 : « qua produktas mikra citrono dolca ». Seul filet releve de l article, et il tombe sur un adjectif ordinaire.
medikamento@369:52	uzata	p362 : « Substanco uzata, interne od extere ». Seul filet de l article, sur un participe.
perigeo@439:55	olca	p432 : « ube olca esas maxime proxima a Tero ». « olca » est un pronom, il renvoie a la planete.
providenco@475:31	omna	p468 : « La sajo dea qua guvernas omna existajo ». Un quantificateur, pas un terme.
rendimento@498:32	homala	p491 : « Efekto utila di mashino, di laboro homala ». Seul filet de l article, sur un adjectif.
ringo@506:33	sama	p499 : « du cirkli sama-centra ». Le filet ne couvre que la moitie du compose.
skurar@545:29	generale	p538 : « generale per froto pumicage ». Un adverbe.
slupo@545:49	mala	p538 : « por la kazo di vetero mala ». Un adjectif ordinaire, seul filet de l article.
stabila@556:15	sama	p549 : « en la sama loko, en la sama situeso, en la sama stando ». « sama » parait trois fois, une seule soulignee.
ubiqua@609:11	omna	p602 : « Qua esas prezenta en omna loki ». Un quantificateur.
ultramikroskopo@609:51	maxima	p602 : « ye la plugrandigo maxima di mikroskopo ordinara ». Un superlatif.
adjurar@13:54	Sumnar	p006 : le premier mot de la definition, « Sumnar (ulu) », souligne comme « nomo » sur la meme ligne. C est le verbe qui definit adjurar, il n y est pas cite.
