# Toutes les cellules dont la lecture a ete modifiee par rapport au decodage brut.
# image	ligne	colonne	lu	retenu	origine
0	9	16	e	a	automatique
4	17	5	k	Q	automatique
9	10	3	c	o	automatique
9	25	5	e	v	automatique
9	34	32	s	x	automatique
10	5	12	s	m	automatique
10	21	43	h	n	automatique
10	28	54	c	o	automatique
10	33	20	c	o	automatique
11	10	0	o	a	automatique
11	35	47	R	N	automatique
12	12	5	c	o	automatique
14	47	54	y	I	automatique
15	6	7	c	o	automatique
15	11	3	c	o	automatique
15	12	35	T	f	automatique
15	51	37	s	m	automatique
16	41	1	f	r	automatique
17	29	5	c	o	automatique
18	14	3	c	o	automatique
18	18	5	c	o	automatique
18	32	8	c	o	automatique
18	43	55	A	a	automatique
19	2	10	s	x	automatique
19	8	56	u	o	automatique
19	8	57	n	m	automatique
19	10	23	c	o	automatique
19	14	19	o	c	automatique
19	14	20	c	o	automatique
20	34	9	P	r	automatique
20	34	11	g	s	automatique
21	12	7	c	o	automatique
21	45	18	V	v	automatique
22	25	7	c	o	automatique
22	27	39	l	a	automatique
22	41	0	i	a	automatique
23	2	0	s	a	automatique
23	35	46	s	a	automatique
23	39	58	c	o	automatique
24	6	9	V	v	automatique
24	13	11	V	v	automatique
24	35	3	c	o	automatique
24	46	21	I	T	automatique
26	12	13	c	o	automatique
26	40	5	c	o	automatique
26	46	7	c	o	automatique
27	48	4	o	e	automatique
27	48	5	v	r	automatique
28	26	13	D	C	automatique
29	20	7	I	r	automatique
29	52	40	s	m	automatique
30	8	13	S	B	automatique
30	17	14	E	B	automatique
31	10	1	s	m	automatique
31	18	10	n	h	automatique
31	21	45	b	t	automatique
31	27	6	c	o	automatique
31	40	56	s	m	automatique
31	56	0	d	a	automatique
31	56	7	d	a	automatique
33	20	8	c	o	automatique
33	33	26	h	b	automatique
33	37	38	L	l	automatique
34	2	20	V	v	automatique
34	4	9	c	o	automatique
34	4	14	A	a	automatique
34	15	6	c	o	automatique
35	7	8	c	o	automatique
37	7	6	s	o	automatique
37	10	3	c	o	automatique
37	18	10	c	o	automatique
37	20	12	L	l	automatique
37	26	10	c	o	automatique
37	26	16	A	a	automatique
38	11	8	c	o	automatique
38	41	61	e	a	automatique
38	42	60	m	a	automatique
39	30	23	s	x	automatique
39	36	51	s	x	automatique
39	37	39	s	m	automatique
41	13	17	a	z	automatique
41	19	6	o	c	automatique
41	22	9	o	a	automatique
42	3	7	c	o	automatique
42	19	17	A	a	automatique
42	22	7	c	o	automatique
42	38	5	c	o	automatique
42	51	5	c	o	automatique
43	30	51	g	s	automatique
43	32	36	L	l	automatique
44	23	7	c	o	automatique
44	25	19	V	v	automatique
45	13	10	I	T	automatique
45	18	5	c	o	automatique
45	42	11	s	x	automatique
45	50	3	e	s	automatique
46	4	10	c	o	automatique
46	22	52	L	l	automatique
46	37	4	n	p	automatique
46	37	5	c	o	automatique
47	5	5	i	l	automatique
47	18	0	o	a	automatique
47	18	8	c	o	automatique
48	2	2	s	m	automatique
48	5	11	D	G	automatique
48	5	12	e	a	automatique
48	7	8	A	a	automatique
48	35	5	c	o	automatique
49	8	23	c	o	automatique
49	9	8	i	l	automatique
49	26	24	A	a	automatique
49	36	12	p	t	automatique
50	18	41	g	s	automatique
50	21	52	l	i	automatique
50	27	27	d	c	automatique
50	27	28	o	e	automatique
50	36	60	s	z	automatique
50	46	56	s	m	automatique
50	50	66	c	o	automatique
51	35	25	o	n	automatique
51	44	18	a	e	automatique
51	44	24	g	s	automatique
52	5	5	c	o	automatique
52	12	10	a	e	automatique
52	23	20	l	i	automatique
52	36	8	c	o	automatique
53	51	9	D	O	automatique
54	16	7	S	s	automatique
54	27	5	E	o	automatique
54	33	8	c	o	automatique
54	33	11	A	a	automatique
54	53	57	c	o	automatique
55	3	37	t	p	automatique
56	10	6	z	s	automatique
56	30	0	o	a	automatique
56	36	10	c	o	automatique
56	38	0	o	a	automatique
56	39	29	R	N	automatique
56	47	28	I	T	automatique
57	20	9	E	o	automatique
57	23	0	s	a	automatique
57	38	0	a	e	automatique
57	38	1	v	s	automatique
57	47	3	n	o	automatique
57	49	4	A	a	automatique
58	14	6	c	o	automatique
58	33	27	o	n	automatique
58	34	7	s	m	automatique
58	36	0	s	a	automatique
58	41	5	d	o	automatique
58	43	4	m	o	automatique
58	47	0	e	a	automatique
58	47	1	a	s	automatique
58	47	17	a	l	automatique
58	48	50	c	o	automatique
59	19	0	o	a	automatique
59	22	0	o	a	automatique
59	30	6	r	p	automatique
59	34	49	p	t	automatique
60	32	9	I	P	automatique
61	2	51	m	o	automatique
61	2	52	s	a	automatique
61	9	31	p	t	automatique
61	16	9	c	o	automatique
61	37	8	c	o	automatique
61	39	16	L	l	automatique
61	45	5	c	o	automatique
61	50	5	c	o	automatique
61	50	52	r	v	automatique
62	14	3	u	o	automatique
62	16	3	p	t	automatique
62	22	5	c	o	automatique
62	30	3	s	m	automatique
62	34	12	R	S	automatique
63	19	9	c	o	automatique
63	33	32	o	c	automatique
63	51	45	e	a	automatique
64	7	3	b	t	automatique
64	7	8	P	F	automatique
64	17	38	p	t	automatique
64	20	14	p	t	automatique
64	42	28	o	a	automatique
64	47	39	p	n	automatique
65	4	4	u	n	automatique
65	25	0	o	b	automatique
65	30	10	p	t	automatique
66	3	12	o	c	automatique
66	10	4	c	o	automatique
66	22	4	c	o	automatique
