page	ligne	col	lu	corrige	vedette lue	vedette retenue	precedente	suivante
14	45	6	o	c	advento	adventc	adurolo	adventiva
15	11	3	o	e	aero	aere	adyunto	aerenkimo
19	38	3	o	c	akaoio	akacio	ajuto	akademio
20	36	4	o	c	akoro	akorc	akonto	akordar
21	34	3	o	c	akto	aktc	akroterio	aktinio
21	42	4	n	p	aktinika	aktipika	aktinio	aktiva
22	45	0	a	s	alo	s1o	iala	slambiko
22	45	1	l	1	alo	s1o	iala	slambiko
23	28	5	o	e	albumo	albume	albina	albumeho
25	16	4	n	r	alienacar	alieracar	alienar	aligatoro
30	42	3	s	a	amisnto	amianto	amforo	amido
33	26	4	o	c	analo	analc	anakronisso	analgeziar
35	20	5	o	c	angelo	angelc	anexar	angeliko
36	1	2	b	h	anbelar	anhelar	angulo	armidra
37	36	5	o	c	antero	anterc	anteno	anteridio
38	33	2	m	t	anmipirino	antipirino	antipatiar	antipodo
39	40	4	o	c	aorto	aortc	aoristo	aortito
40	14	6	c	o	apendicito	apendioito	apendico	apene
42	18	5	s	a	apoteso	apoteao	apcteko	apoteosc
42	28	3	o	c	apro	aprc	apoziciono	aprentiso
42	42	3	c	o	aprcbar	aprobar	aprilc	aprooho
44	48	3	o	c	areo	arec	ardua	areko
45	7	5	e	a	areometro	areomatro	areolo	areometrio
45	28	4	n	h	argono	argoho	argilo	argonauto
45	32	3	o	p	argonauto	argpnauto	argono	argumentar
46	15	3	e	a	arjento	arjanto	arivar	arjentano
48	26	3	I	r	aroiuto	aroruto	aromato	arozar
48	42	3	o	c	arto	artc	arsenalo	artemizio
49	29	4	o	c	artro	artrc	artilrio	artrito
49	55	2	o	e	aso	ase	aruspico	asimptoto
53	3	4	o	c	astro	astrc	astrakano	astriktar
53	21	8	o	c	astronomo	astronomc	astrologio	astronomio
58	36	0	s	a	svida	avida	ariacar	avizar
58	41	0	a	d	aevcud	devcud	avizar	eso
58	47	0	e	a	eso	aso	aevcud	axelo
64	29	4	a	s	bardano	bardsno	bardo	barejo
64	40	4	o	c	bario	baric	barelo	barikado
68	8	3	o	c	bedo	bedc	bechika	bedelo
70	13	3	o	c	beto	betc	bestio	betelo
70	40	2	i	a	bii	bia	bezonar	biblo
71	19	3	e	a	bideto	bidato	biciklo	bidcnc
71	22	3	c	o	bidcnc	bidonc	bideto	bifstekc
73	9	3	o	c	biro	birc	biomekanikc	biremo
77	30	4	e	s	bordeai	bordsai	bordo	boreo
78	22	2	s	x	bosar	boxar	bovo	boyc
78	52	5	c	o	brakicefala	brakioefala	brakio	brakiopodo
79	19	4	a	e	bramano	brameno	bramar	brano
79	23	4	o	c	brano	branc	bramano	brancho
79	33	5	o	c	brando	brandc	brancho	brandio
80	36	4	o	c	brevo	brevc	bretelo	breviario
81	19	3	z	x	brizc	brixc	briska	brizanto
81	55	3	c	o	brocho	brooho	bronzo	brosar
82	16	3	o	c	bruo	bruc	broshar	brueto
83	8	3	a	e	bufalo	bufelo	bufar	bufeto
86	27	2	z	x	buzo	buxo	buxo	buzardo
97	2	3	l	i	ciklo	cikio	cigno	ciklamenc
97	32	4	c	o	ciklcpc	ciklopc	ciklonc	ciklosc
99	36	4	o	c	cirko	cirkc	circinata	cirklo
101	45	3	o	c	cizo	cizc	civito	cizelar
102	48	3	a	e	damaskinar	dameskinar	damasko	damijano
103	43	2	s	x	daso	daxo	daturo	deo
104	2	1	e	c	deo	dco	daso	demaru
104	36	2	c	o	decensar	deoensar	deoendar	dmceptar
104	42	1	e	m	deohifrar	dmohifrar	dmceptar	seeidar
106	40	1	s	e	dskagono	dekagono	dekaedro	dekagramo
112	12	3	i	a	desi	desa	ddes	desegnar
114	4	3	c	o	devcrar	devorar	devocc	dextra
115	34	6	o	c	diakono	diakonc	diakilono	diakoniso
115	46	7	o	c	dialekto	dialektc	diakritika	dialektiko
116	26	3	a	s	diaataao	diastaao	diaso	diastolo
116	48	3	s	a	dicsrnar	dicarnar	dicar	diciono
117	16	4	o	c	dieto	dietc	dielektriko	dietetiko
117	22	4	e	s	dietetiko	dietstiko	dieto	diezo
117	41	7	c	o	diferencialo	diferenoialo	diferenciar	difraktar
118	8	7	o	c	digitalo	digitalc	digestar	digitalino
120	8	10	o	c	dinamometro	dinamometrc	dinamito	dinamometrio
120	36	6	o	c	dioptro	dioptrc	dioika	dioptrio
121	5	5	o	c	diploo	diploc	diplasar	diplomo
126	13	6	o	c	dogmato	dogmatc	dogano	dogmatiko
131	33	3	o	c	duno	dunc	dum	dungo
131	41	3	o	c	dupo	dupc	duodenumo	duplexa
134	7	1	o	c	eoitar	ecitar	echopo	ecizar
134	30	4	o	c	edero	ederc	edeno	ederduno
134	53	0	d	e	ddro	edro	editar	edumar
136	36	0	e	a	ekidno	akidno	aekarteb	akimoso
136	41	0	a	s	akimoso	skimoso	ekidno	skino
136	44	0	s	a	skino	akino	akimoso	akinodermo
136	47	0	a	s	akinodermo	skinodermo	skino	sklampsio
137	15	6	o	c	ekonomo	ekonomc	ekologio	ekonomiko
138	29	7	l	i	elektrolito	elektroiito	elektroforo	elektrolisar
138	35	0	s	e	slektrologio	elektrologio	elektrolisar	elektrometro
141	27	5	o	c	embraoar	embracar	embotar	embragar
142	25	1	s	m	esocar	emocar	emisar	empalar
143	25	7	o	c	encefalo	encefalc	enartroso	encefalito
143	37	6	o	c	endemio	endemic	enciklopedio	endemika
147	11	3	o	c	epioena	epicena	eperlano	epiciklo
150	16	0	d	e	dop	eop	ecuivalar	eratika
150	26	0	s	e	srektar	erektar	erco	ergatoplasmo
150	32	5	o	c	ergoto	ergotc	ergatoplasmo	ergotino
151	37	3	m	s	esamo	esaso	esar	esayo
155	23	4	o	a	estrogono	estragono	estrado	estribo
155	45	4	e	s	etajero	etajsro	etajo	etalono
156	24	4	o	c	etiko	etikc	eterna	etiketo
156	41	0	a	e	atsoido	etmoido	eticlogio	etnografio
156	41	2	s	m	atsoido	etmoido	eticlogio	etnografio
158	40	0	d	e	dxegezo	exegezo	dxssperar	exekutar
160	47	1	s	x	esotera	exotera	exostoso	expansar
