page	ligne	col	lu	corrige	vedette lue	vedette retenue
12	6	1	o	c	aoendar	acendar
13	33	4	r	o	adiar	adiao
13	37	4	b	o	adiabata	adiaoata
14	5	3	i	d	administrar	admdnistrar
14	8	2	s	m	adslrar	admdrar
14	8	3	l	d	adslrar	admdrar
14	45	6	o	c	advento	adventc
15	6	3	c	o	advckatc	advokatc
15	11	3	o	e	aero	aere
18	38	6	m	s	agronomio	agronosio
19	38	3	o	c	akaoio	akacio
20	36	4	o	c	akoro	akorc
21	31	3	o	P	akroterio	akrPterio
21	34	3	o	c	akto	aktc
21	38	6	o	c	aktinio	aktinic
22	5	3	c	o	aktcala	aktosla
22	5	4	a	s	aktcala	aktosla
22	45	0	a	s	alo	s1o
22	45	1	l	1	alo	s1o
23	4	0	a	s	alarmar	slarmar
23	7	1	l	1	alaudo	a1audo
23	10	1	l	1	albo	a1bo
23	28	5	o	e	albumo	albume
25	16	4	n	r	alienacar	alieracar
26	2	3	e	a	alkemio	alkamio
29	20	4	o	c	ambioiaI	ambiciaI
30	3	1	s	m	asendo	amendo
30	42	3	s	a	amisnto	amianto
31	31	4	o	c	amono	amonc
31	33	1	s	m	asonio	amonio
31	35	5	a	s	amoniako	amonisko
33	2	1	r	n	armerotia	anaerotia
33	2	2	m	a	armerotia	anaerotia
33	26	4	o	c	analo	analc
34	39	2	m	e	anmmio	anemio
35	20	5	o	c	angelo	angelc
36	1	2	b	h	anbelar	anhelar
37	7	2	c	o	ancnigs	anonigs
37	36	5	o	c	antero	anterc
38	33	2	m	t	anmipirino	antipirino
39	40	4	o	c	aorto	aortc
40	14	6	c	o	apendicito	apendioito
40	32	3	e	s	apie	apis
42	3	2	c	o	apcstilc	apostilc
42	9	2	o	c	apoetrofo	apcetrofo
42	18	5	s	a	apoteso	apoteao
42	28	3	o	c	apro	aprc
42	42	3	c	o	aprcbar	aprobar
44	13	4	t	p	arbitrar	arbiprar
44	48	3	o	c	areo	arec
45	7	5	e	a	areometro	areomatro
45	28	4	n	h	argono	argoho
46	2	4	s	m	aritsetiko	aritmetiko
46	15	3	e	a	arjento	arjanto
48	5	2	s	m	arsistico	armistico
48	7	4	r	I	armoro	armoIo
48	10	3	c	o	armcracio	armoracio
48	20	4	o	c	aromo	aromc
48	23	4	a	e	aromato	arometo
48	26	3	I	r	aroIuto	aroruto
48	42	3	o	c	arto	artc
49	29	4	o	c	artro	artrc
49	55	2	o	e	aso	ase
51	43	7	o	c	asparago	asparagc
53	3	4	o	c	astro	astrc
53	21	8	o	c	astronomo	astronomc
55	21	4	r	I	audar	audaI
55	23	4	c	o	audacar	audaoar
56	30	0	o	a	outobuso	autobuso
56	54	3	c	o	autclizo	autolizo
57	23	1	o	8	sotere	s8tere
57	40	0	a	e	avalo	evalo
58	33	0	a	e	ariacar	eriacar
58	38	0	a	s	avizar	svizar
