# Noms scientifiques redresses A L'OEIL.
#
# Le « L. » du tapuscrit annonce le nom latin, que l'edition met dans le champ
# `latina`. La dactylo coupe parfois un mot en deux, ou la ligne le brise :
# « capparia spi nosa » pour « capparia spinosa ». Ni « spi » ni « nosa » ne
# sont des mots latins, mais la machine ne peut pas le savoir.
#
# La cle est celle de simboli.txt : vedetto@image:ligno — une ligne de la
# grille, donc un article et un seul.
#
# Plusieurs noms se separent par un point-virgule, comme dans le champ.
#
# cle	nom(s)	motif
kapero@268:33	capparia spinosa	p416 : le livre porte « capparia spi nosa » — une espace parasite au milieu de « spinosa »
oktopodo@411:34	octo-	p404 : le livre porte « - L. octo- », sans suite — verifie sur l original. L auteur donne l element latin, non un binome ; le tiret final le dit, et le rognage des fins de ligne l emportait.
#
# Six genres ou la lecture a pris une lettre pour une autre. La preuve est dans
# le livre : l'auteur a transcrit lui-meme le nom latin en ido, et sa vedette
# porte la lettre que le nom a perdue — « mirmekofago » dit le c de
# « myrmecophaga », « motacilo » le t de « motacilla », « cetonio » le e de
# « cetonia ». « mirmekoleono », deux articles plus loin, ecrit « myrmecoleon »
# avec son c.
mirmekofago@383:6	myrmecophaga	p376 : lu « myrmedophaga » ; la vedette porte « mirmeko- », et « mirmekoleono » ecrit « myrmecoleon »
cetonio@92:26	cetonia	p085 : lu « catonia » ; la vedette porte « cetonio »
faleno@166:15	phalaena	p159 : lu « phanaena » ; la vedette porte « faleno », avec son l
motacilo@391:34	motacilla alba	p384 : lu « molacilla alba » ; la vedette porte « motacilo », avec son t
kaprimulgo@269:48	caprimulgus europeus	p262 : lu « caprimalgus » ; la vedette porte « kaprimulgo », avec son u
kokoso@291:3	cocos nucifera	p284 : lu « cocus nucifera » ; la vedette porte « kokoso », et le genre est Cocos
#
# Deux de plus, ou la preuve n'est pas dans la vedette seule.
moskardino@391:16	muscardinus avellanarius	p384 : lu « avelianarius » — le double l pris pour « li ». Le genre Muscardinus n a qu une espece, avellanarius, du latin avellana, la noisette
fritilario@187:28	fritillus	p180 : lu « fritilius » — le double l pris pour « li », comme chez moskardino. « fritillus » est le cornet a des du latin, dont le damier des petales a donne son nom au genre Fritillaria ; le livre cite ailleurs le mot latin nu, « anas, anatis » chez anado, avec son genitif. La finale en -us est d'ailleurs celle que la ligne porte : une lecture ne l'inventerait pas.
#
# Deux lettres dans un meme nom, et la preuve est encore dans le livre : il
# ecrit « camel- » avec un c quatre fois — « Camelus dromedarius » (dromedaro),
# « camelus bactrianus » (kamelo), « struthio camelus » (strucho),
# « tragocamelus » (nilgauo) — et « gamel- » une seule, ici.
jirafo@255:48	camelopardalis giraffa	p248 : lu « gamelopardalis giraffz ». Le c lu comme g — le livre ecrit « camel- » partout ailleurs — et le a final lu comme z, qui ne finit aucun nom latin. « Camelopardalis », le chameau-leopard, est le nom ancien de la girafe
