# forme fautive -> forme retenue (attestee dans le livre)
abutos	abutas
adheranto	adheranta
adjektiva	adjektivo
adopto	adepto
aera	aero
agapo	agato
age	ago
agendo	agenda
agito	agita
agra	agro
albuminoido	albuminoida
alie	alio
alkaloida	alkaloido
alpa	alta
altara	altaro
andi	ondi
anglo	angla
aorto	morto
arbitrie	arbitrio
arbora	arboro
aree	areo
argano	organo
aromato	aromata
arta	arto
asemblura	asembluro
aspekta	aspekto
averse	averso
avi	ovi
avo	ovo
azo	uzo
banka	banko
bardo	bordo
baso	bazo
basono	baseno
bavajo	havajo
bavar	havar
betelo	botelo
bicikle	biciklo
blanko	blanka
bori	beri
bostono	bastono
boteto	botelo
bova	bovo
brakie	brakio
bramo	brano
bronza	bronzo
bruno	bruna
bufro	butro
carbo	karbo
celularo	celulara
cerebra	cerebro
chase	chaso
ciele	cielo
cirklokurva	cirklokurvo
cirkonstance	cirkonstanco
civitana	civitano
clqua	olqua
decar	docar
decida	decido
decidor	decidar
deco	doco
defensor	defensar
defl	defi
deskovror	deskovrar
deviace	deviaco
devoros	devoras
dicus	dicas
dilatar	dilutar
distensar	dispensar
distinge	distingo
doce	doco
domaja	domajo
domestica	domestika
donajo	domajo
dorni	domi
dorno	domo
dorsa	dorso
dorse	dorso
dramata	dramato
drapa	drapo
drinkor	drinkar
drupo	drapo
dua	dum
duktita	duktila
duros	duras
duvo	duro
edifiko	edifico
efekte	efekto
efikivo	efikiva
egarde	egardo
ekiros	ekiras
eli	oli
eminento	eminenta
employata	employato
employoto	employato
enemike	enemiko
energia	energio
eniror	enirar
erupte	erupto
esenca	esenco
esforce	esforco
eskupar	eskapar
esonte	esante
espreso	expreso
esta	osta
este	esto
etike	etiko
etis	efis
evala	ovala
eventor	eventar
exotiko	exotika
explika	expliko
exprese	expreso
expresos	expresas
extremaje	extremajo
eyo	evo
facite	facile
facor	facar
facos	facas
fakta	fakto
fango	fungo
farba	farbo
faro	furo
fayo	tayo
fenestra	fenestro
fermenta	fermento
figura	figuro
fil	til
fila	filo
fina	fino
finance	financo
fingra	fingro
fisha	fisho
fito	filo
flaro	floro
fluos	fluas
force	forco
frakto	frukto
franco	franca
franka	franca
frapa	frapo
freno	treno
fretar	frotar
freto	froto
fuko	fako
fular	falar
fulo	falo
funda	fundo
gazo	gaso
germanio	germania
glacia	glacio
glebo	globo
grama	gramo
gramda	granda
grando	granda
grapi	grupi
grelo	greto
groto	greto
grum	gram
grumo	gramo
grupe	grupo
havo	navo
heme	hemo
herba	herbo
hispano	hispana
histerio	historio
historia	historio
hordi	bordi
hordo	bordo
humora	humoro
hura	nura
ico	ica
igos	igas
imaginata	imaginala
impedor	impedar
infante	infanto
inflamura	inflamuro
insekta	insekto
institucura	institucuro
intestina	intestino
ito	ita
jemar	jenar
jeyo	joyo
judicar	judikar
kadra	kadro
kaika	kalka
kalo	kolo
kaloroza	koloroza
kamo	karno
kanaba	kanabo
kantoro	kontoro
kape	kapo
karaktera	karaktero
karba	karbo
karnavido	karnavida
karpentura	karpenturo
katoliko	katolika
kauze	kauzo
kavale	kavalo
kerni	korni
klapa	klapo
kloke	kloko
kluzo	kluza
kolone	kolono
koloriziva	kolorizivo
kombusteblo	kombustebla
komercista	komercisto
komico	kornico
komizo	kamizo
komplexo	komplexa
kondimente	kondimento
kongregacione	kongregaciono
konka	konko
konoernas	koncernas
kontenato	kontenata
kontenos	kontenas
kontenus	kontenas
kontrakte	kontrakto
kontrasto	kontraste
korda	kordo
kordona	kordono
kornoza	karnoza
korpa	korpo
korpe	korpo
koteno	kotono
krano	krono
kriptogamo	kriptogama
kristala	kristalo
kruca	kruco
kruce	kruco
kuh	kun
kulpe	kulpo
kultive	kultivo
kupelo	kupolo
kurasa	kuraso
kurti	karti
kurvu	kurva
kustume	kustumo
kutro	kupro
kuzo	kazo
labaro	laboro
lakuna	lakuno
lamela	lamelo
lar	lor
larva	larvo
lega	lego
lege	lego
lemo	temo
lepro	letro
letra	letro
levi	leyi
liguo	ligno
limite	limito
lio	lia
liriko	lirika
livror	livrar
locioni	lecioni
lociono	leciono
logike	logiko
logo	lego
loke	loko
lono	lano
lugo	lago
luna	luno
lunala	lumala
malade	malado
malta	multa
manao	manuo
mancha	mancho
manche	mancho
maneto	moneto
manjor	manjar
mano	mamo
mare	maro
mariaja	mariajo
marno	mamo
marto	morto
masiva	masivo
materia	materio
maximo	maxima
mazo	maso
mea	mem
mekanike	mekaniko
mekanisme	mekanismo
membra	membro
memorigo	memorige
menti	monti
meridiana	meridiano
mestiere	mestiero
mezure	mezuro
mikro	mikra
modela	modelo
monata	monato
monate	monato
monumenta	monumento
mordo	nordo
morta	morto
movala	movata
mula	mala
muliera	muliero
mura	muro
murala	marala
muskula	muskulo
muso	maso
musto	masto
nar	nur
nardo	nordo
naso	maso
natar	natur
nato	noto
nava	navo
negativo	negativa
nekonocato	nekonocata
nielo	mielo
nivela	nivelo
nivele	nivelo
nombre	nombro
nome	nomo
norde	nordo
noturo	naturo
nuance	nuanco
nutror	nutrar
obtenos	obtenas
ocido	acido
ocitar	ecitar
odora	odoro
odorosa	odoroza
ofi	efi
oldo	olda
olea	olca
omisar	emisar
