# page	ligne	plages (a-b, inclusives, en colonnes)
# Releve a l'oeil ; remplace la detection automatique pour ces lignes.
4	7	30-34,38-54
4	31	5-13,42-46
4	32	37-42
4	34	36-40
4	38	31-45
4	45	39-56
4	46	0-3,6-24
5	7	13-32
5	8	0-9
5	24	26-34
5	25	27-43
6	18	20-33
6	22	14-29
6	25	31-38
6	33	14-29
6	40	14-28
8	7	0-0,4-9
8	9	0-3
8	15	0-1
8	17	0-3
8	20	0-4
8	23	0-4,11-19
8	24	41-46
8	29	0-8,12-16
8	33	0-6
8	37	0-5,9-13,39-43,48-63
8	42	0-5,9-13
8	45	0-6
8	48	0-5,8-12
9	2	0-5,9-14
9	6	0-6,10-14,19-45
9	10	0-7,12-15
9	14	0-7,10-14
9	17	0-4,8-11
9	18	26-39
9	20	0-6,13-19
9	21	30-35
9	24	0-5,9-11
9	25	33-47
9	27	0-4
9	29	0-5
9	30	33-37
9	34	0-6
9	37	0-6,10-16
9	38	37-41
9	41	0-9,13-17,21-27
9	44	0-7,11-16
9	48	0-7,11-15
9	52	0-7,11-26
10	3	7-12,16-20
10	5	15-30
10	7	7-16,20-24,31-47
10	9	39-46
10	12	7-13,17-21
10	16	7-14,18-22,27-67
10	17	10-30
10	20	7-14,18-22
10	24	7-12,16-20
10	28	7-13,16-21
10	32	7-15
10	35	7-13,17-23,31-43
10	36	39-62
10	40	7-12,16-22,27-68
10	41	10-20
10	43	7-14,18-22
10	46	7-14,18-20
10	49	27-42
10	51	7-13,17-21
11	2	0-7,12-14
11	4	17-35
11	6	0-6
11	7	10-15,19-27
11	10	0-6
11	13	0-6,10-13
11	14	19-38
11	16	0-7
11	18	0-7,11-16
11	22	0-7,12-16
11	25	0-7,11-16
11	28	0-8,12-17,21-28
11	31	0-10,14-20,25-31
11	34	0-9,13-17,49-53
11	35	47-56
11	36	3-10
11	39	0-7
11	41	0-6
11	43	0-5,10-17
11	46	0-6,11-18
11	48	0-5,9-15
11	51	0-8,12-18
12	2	0-6,11-14
12	4	0-7,11-15
12	6	0-6,10-15
12	7	26-35
12	9	0-6,10-22
12	12	0-5,9-17
12	15	0-6
12	19	0-4,8-10
12	20	26-39
12	22	0-5,28-32
12	24	0-5,9-13
12	26	0-6
