# Arbitrages a l'oeil, sur le fac-simile. Ce fichier l'emporte sur exceptions.txt
# et n'est jamais reecrit par un programme.
# page	ligne	colonne	lecture retenue
99	49	5	n
99	22	39	y
99	36	4	o
99	51	4	\sur{\textasciicircum{}}{a}
99	51	7	\sur{\textasciicircum{}}{e}
99	51	10	\sur{\textasciicircum{}}{i}
99	51	13	\sur{\textasciicircum{}}{o}
200	16	1	i
100	34	0	\textquotedbl{}
638	47	0	y
450	43	25	q
100	2	14	Q
100	10	14	m
100	20	45	-
626	1	56	9
# page 474 : deux lignes tapees une cellule a gauche du bloc ;
# le « p » de protezo et de protisto tombait hors du decoupage.
# On repose la ligne entiere, decalee d'une cellule vers la droite.
474	50	0	p
474	50	1	r
474	50	2	o
474	50	3	t
474	50	4	e
474	50	5	z
474	50	6	o
474	50	7	.
474	50	8	
474	50	9	(
474	50	10	k
474	50	11	i
474	50	12	r
474	50	13	u
474	50	14	r
474	50	15	g
474	50	16	i
474	50	17	o
474	50	18	)
474	50	19	.
474	50	20	
474	50	21	R
474	50	22	e
474	50	23	m
474	50	24	p
474	50	25	l
474	50	26	a
474	50	27	s
474	50	28	i
474	50	29	g
474	50	30	o
474	50	31	,
474	50	32	
474	50	33	p
474	50	34	e
474	50	35	r
474	50	36	
474	50	37	a
474	50	38	r
474	50	39	t
474	50	40	i
474	50	41	f
474	50	42	i
474	50	43	c
474	50	44	a
474	50	45	l
474	50	46	a
474	50	47	j
474	50	48	o
474	50	49	,
474	50	50	
474	50	51	d
474	50	52	i
474	50	53	
474	50	54	o
474	50	55	r
474	50	56	g
474	50	57	a
474	50	58	n
474	50	59	o
474	53	0	p
474	53	1	r
474	53	2	o
474	53	3	t
474	53	4	i
474	53	5	s
474	53	6	t
474	53	7	o
474	53	8	.
474	53	9	(
474	53	10	b
474	53	11	i
474	53	12	o
474	53	13	l
474	53	14	.
474	53	15	)
474	53	16	O
474	53	17	r
474	53	18	g
474	53	19	a
474	53	20	n
474	53	21	i
474	53	22	s
474	53	23	m
474	53	24	o
474	53	25	
474	53	26	m
474	53	27	a
474	53	28	x
474	53	29	i
474	53	30	m
474	53	31	e
474	53	32	
474	53	33	s
474	53	34	i
474	53	35	m
474	53	36	p
474	53	37	l
474	53	38	a
474	53	39	,
474	53	40	
474	53	41	q
474	53	42	u
474	53	43	a
474	53	44	
474	53	45	h
474	53	46	a
474	53	47	v
474	53	48	a
474	53	49	s
474	53	50	
474	53	51	k
474	53	52	a
474	53	53	r
474	53	54	a
474	53	55	k
474	53	56	t
474	53	57	e
474	53	58	r
474	53	59	i
474	53	60	
474	53	61	q
474	53	62	u
474	53	63	i
# Le « + » en exposant marque les mots non officiels. Il occupe une
# cellule pleine devant la vedette ; le decodage la rendait blanche
# (ho-) ou la perdait en decalant la ligne (hobio).
227	41	0	+
227	44	0	+
227	44	1	h
227	44	2	o
227	44	3	b
227	44	4	i
227	44	5	o
227	44	6	.
227	44	7	
227	44	8	
227	44	9	I
227	44	10	d
227	44	11	e
227	44	12	o
227	44	13	
227	44	14	q
227	44	15	u
227	44	16	a
227	44	17	n
227	44	18	
227	44	19	o
227	44	20	n
227	44	21	u
227	44	22	
227	44	23	p
227	44	24	r
227	44	25	e
227	44	26	f
227	44	27	e
227	44	28	r
227	44	29	a
227	44	30	s
227	44	31	
227	44	32	t
227	44	33	r
227	44	34	a
227	44	35	k
227	44	36	t
227	44	37	a
227	44	38	r
227	44	39	,
227	44	40	
227	44	41	o
227	44	42	
227	44	43	p
227	44	44	r
227	44	45	i
227	44	46	
227	44	47	q
227	44	48	u
227	44	49	a
227	44	50	
227	44	51	o
227	44	52	n
227	44	53	u
227	44	54	
227	44	55	p
227	44	56	r
227	44	57	e
227	44	58	f
227	44	59	e
227	44	60	r
227	44	61	a
227	44	62	s
# Note manuscrite glissee entre « afabla » et « afazio » : on la blanchit.
15	44	0	
15	44	1	
15	44	2	
15	44	3	
15	44	4	
15	44	5	
15	44	6	
15	44	7	
15	44	8	
15	44	9	
15	44	10	
15	44	11	
15	44	12	
15	44	13	
15	44	14	
15	44	15	
15	44	16	
15	44	17	
15	44	18	
15	44	19	
# Note manuscrite en cursive, page 18.
18	5	0	
18	5	1	
18	5	2	
18	5	3	
18	5	4	
18	5	5	
18	5	6	
18	5	7	
18	5	8	
18	5	9	
18	5	10	
18	5	11	
18	5	12	
18	5	13	
18	5	14	
18	5	15	
18	5	16	
18	5	17	
18	5	18	
18	5	19	
18	5	20	
# Page interne 250 (folio 243) : le decoupage a derive verticalement en
# bas de page et les trois lignes de « islamo » se sont decodees en
# charabia. Elles sont parfaitement lisibles au scan ; on les repose.
250	55	0	i
250	55	1	s
250	55	2	l
250	55	3	a
250	55	4	m
250	55	5	o
250	55	6	.
250	55	7	
250	55	8	I
250	55	9	.
250	55	10	
250	55	11	R
250	55	12	e
250	55	13	l
250	55	14	i
250	55	15	g
250	55	16	i
250	55	17	o
250	55	18	
250	55	19	e
250	55	20	
250	55	21	c
250	55	22	i
250	55	23	v
250	55	24	i
250	55	25	l
250	55	26	i
250	55	27	z
250	55	28	e
250	55	29	s
250	55	30	o
250	55	31	-
250	55	32	f
250	55	33	o
250	55	34	r
250	55	35	m
250	55	36	o
250	55	37	
250	55	38	d
250	55	39	i
250	55	40	
250	55	41	l
250	55	42	a
250	55	43	
250	55	44	M
250	55	45	o
250	55	46	h
250	55	47	a
250	55	48	m
250	55	49	e
250	55	50	d
250	55	51	i
250	55	52	s
250	55	53	t
250	55	54	i
250	55	55	.
250	55	56	
250	55	57	-
250	55	58	
250	55	59	I
250	55	60	I
250	55	61	.
250	55	62	
250	55	63	E
250	55	64	n
250	55	65	-
250	55	66	
250	55	67	
250	55	68	
250	55	69	
250	56	0	
250	56	1	
250	56	2	s
250	56	3	e
250	56	4	m
250	56	5	b
250	56	6	l
250	56	7	o
250	56	8	
250	56	9	e
250	56	10	k
250	56	11	
250	56	12	l
250	56	13	a
250	56	14	
250	56	15	l
250	56	16	a
250	56	17	n
250	56	18	d
250	56	19	i
250	56	20	
250	56	21	q
250	56	22	u
250	56	23	i
250	56	24	n
250	56	25	
250	56	26	k
250	56	27	a
250	56	28	r
250	56	29	a
250	56	30	k
250	56	31	t
250	56	32	e
250	56	33	r
250	56	34	i
250	56	35	z
250	56	36	a
250	56	37	s
250	56	38	
250	56	39	t
250	56	40	a
250	56	41	
250	56	42	r
250	56	43	e
250	56	44	l
250	56	45	i
250	56	46	g
250	56	47	i
250	56	48	o
250	56	49	
250	56	50	e
250	56	51	
250	56	52	t
250	56	53	a
250	56	54	
250	56	55	c
250	56	56	i
250	56	57	v
250	56	58	i
250	56	59	l
250	56	60	i
250	56	61	z
250	56	62	e
250	56	63	s
250	56	64	o
250	56	65	-
250	56	66	
250	56	67	
250	56	68	
250	56	69	
250	57	0	
250	57	1	
250	57	2	f
250	57	3	o
250	57	4	r
250	57	5	m
250	57	6	o
250	57	7	.
250	57	8	
250	57	9	
250	57	10	
250	57	11	
250	57	12	
250	57	13	
250	57	14	
250	57	15	
250	57	16	
250	57	17	
250	57	18	
250	57	19	
250	57	20	
250	57	21	
250	57	22	
250	57	23	
250	57	24	
250	57	25	
250	57	26	
250	57	27	
250	57	28	
250	57	29	
250	57	30	
250	57	31	
250	57	32	
250	57	33	
250	57	34	
250	57	35	
250	57	36	
250	57	37	
250	57	38	
250	57	39	
250	57	40	
250	57	41	
250	57	42	
250	57	43	
250	57	44	
250	57	45	
250	57	46	
250	57	47	
250	57	48	
250	57	49	
250	57	50	
250	57	51	
250	57	52	
250	57	53	
250	57	54	
250	57	55	
