page	ligne	col	lu	corrige	forme lue	forme retenue	freq lue	freq retenue
20	34	9	P	r	Pago	raso	2	16
20	34	11	g	s	Pago	raso	2	16
50	50	66	c	o	dic	dio	2	40
56	39	29	S	N	Sur	Nur	5	137
263	12	2	a	n	koa	kon	1	52
317	52	32	s	m	fesino	femino	2	16
329	54	4	o	l	aoa	ala	3	24
335	45	37	s	m	fesino	femino	2	16
377	7	3	g	s	gla	sis	4	32
377	7	4	l	i	gla	sis	4	32
377	7	5	a	s	gla	sis	4	32
432	18	3	u	o	uua	oua	2	16
482	52	23	k	x	ektere	extere	1	14
508	17	58	f	r	ofi	ori	1	11
547	8	26	c	e	partc	parte	1	9
587	27	27	o	n	ola	nia	3	31
587	27	28	l	i	ola	nia	3	31
591	27	53	A	a	Anti	anti	1	9
624	9	10	a	K	aansono	Kansono	1	8
632	37	46	y	v	yes	vas	1	9
632	37	47	e	a	yes	vas	1	9
43	30	51	g	s	aouilegia	aouilesia	1	-1
50	36	60	s	z	asfisio	asfizio	1	-1
180	11	25	y	v	yena	vena	1	-1
462	24	36	c	E	pcrsono	pErsono	1	-1
470	15	46	k	x	ektrema	extrema	1	-1
633	20	54	e	a	retrodonez	retrodonas	1	-1
633	20	55	z	s	retrodonez	retrodonas	1	-1
