page	ligne	col	lu	corrige	regle	vedette lue
11	10	0	o	a	initiale de section	otmento
12	12	5	c	o	finale morphologique	acentc
15	6	7	c	o	finale morphologique	advckatc
17	29	5	c	o	finale morphologique	agendc
18	14	3	c	o	finale morphologique	agrc
18	18	5	c	o	finale morphologique	agrafc
18	32	8	c	o	finale morphologique	agrisonic
21	12	7	c	o	finale morphologique	akrobatc
22	41	0	i	a	initiale de section	iala
22	25	7	c	o	finale morphologique	akustikc
23	2	0	s	a	initiale de section	slambiko
24	35	3	c	o	finale morphologique	algc
26	12	13	c	o	finale morphologique	alkoholometric
26	40	5	c	o	finale morphologique	alonjc
26	46	7	c	o	finale morphologique	alopatic
29	20	7	I	r	finale morphologique	ambioiaI
31	56	0	d	a	initiale de section	dampered
31	27	6	c	o	finale morphologique	amniotc
31	56	7	d	a	finale morphologique	dampered
33	20	8	c	o	finale morphologique	anakoretc
34	4	9	c	o	finale morphologique	anastomosc
34	15	6	c	o	finale morphologique	anohovc
35	7	8	c	o	finale morphologique	anestezic
37	7	6	s	o	finale morphologique	ancnigs
37	10	3	c	o	finale morphologique	ansc
37	18	10	c	o	finale morphologique	antagonistc
37	26	10	c	o	finale morphologique	antecedentc
38	11	8	c	o	finale morphologique	antifrazc
42	3	7	c	o	finale morphologique	apcstilc
42	22	7	c	o	finale morphologique	apoteosc
42	38	5	c	o	finale morphologique	aprilc
42	51	5	c	o	finale morphologique	apsidc
44	23	7	c	o	finale morphologique	arbitric
45	18	5	c	o	finale morphologique	argalc
46	4	10	c	o	finale morphologique	aritmmgrafc
47	18	0	o	a	initiale de section	oIkitektc
47	18	8	c	o	finale morphologique	oIkitektc
48	35	5	c	o	finale morphologique	arsenc
52	5	5	c	o	finale morphologique	aspikc
52	36	8	c	o	finale morphologique	asterismc
54	27	5	E	o	finale morphologique	atlasE
56	30	0	o	a	initiale de section	outobuso
56	38	0	o	a	initiale de section	ootogamo
56	36	10	c	o	finale morphologique	autodidaktc
57	23	0	s	a	initiale de section	sotere
57	20	9	E	o	finale morphologique	autoritatE
57	47	3	n	o	finale morphologique	avan
58	36	0	s	a	initiale de section	svida
58	47	0	e	a	initiale de section	eso
58	14	6	c	o	finale morphologique	avelanc
58	41	5	d	o	finale morphologique	aevcud
59	19	0	o	a	initiale de section	ozigosporo
59	22	0	o	a	initiale de section	ozilo
61	16	9	c	o	finale morphologique	balanoierc
61	37	8	c	o	finale morphologique	baldakinc
61	45	5	c	o	finale morphologique	balenc
61	50	5	c	o	finale morphologique	baletc
62	22	5	c	o	finale morphologique	belonc
63	19	9	c	o	finale morphologique	bandolierc
65	25	0	o	b	initiale de section	oarometro
66	10	4	c	o	finale morphologique	beskc
66	22	4	c	o	finale morphologique	lmntc
68	14	5	c	o	finale morphologique	beginc
69	16	0	o	b	initiale de section	oenzino
70	33	6	c	o	finale morphologique	bezoarc
71	22	5	c	o	finale morphologique	bidcnc
71	30	7	c	o	finale morphologique	bifstekc
72	11	0	h	b	initiale de section	hilgo
72	19	0	h	b	initiale de section	hllieto
73	6	10	c	o	finale morphologique	biomekanikc
73	21	2	s	a	finale morphologique	bis
74	51	8	c	o	finale morphologique	blokbausc
76	19	0	h	b	initiale de section	holeto
76	16	7	b	i	finale morphologique	bbolerob
77	2	0	t	b	initiale de section	toneto
77	24	9	P	o	finale morphologique	borborigmP
77	30	6	I	r	finale morphologique	bordeaI
78	25	3	c	o	finale morphologique	boyc
79	47	6	c	o	finale morphologique	brankic
81	19	4	c	o	finale morphologique	brizc
84	7	7	c	o	finale morphologique	buletinc
85	4	2	u	o	finale morphologique	lmu
85	12	8	c	o	finale morphologique	burokratc
85	16	4	c	o	finale morphologique	bursc
85	18	3	c	o	finale morphologique	busc
85	21	4	c	o	finale morphologique	bushc
85	28	4	c	o	finale morphologique	buskc
88	35	0	o	c	initiale de section	oedrato
88	53	0	o	c	initiale de section	oelerio
91	11	0	o	c	initiale de section	oero
91	39	4	z	a	finale morphologique	ceriz
92	2	3	s	a	finale morphologique	boes
92	6	4	c	o	finale morphologique	cesic
92	44	6	c	o	finale morphologique	chamadc
93	18	10	c	o	finale morphologique	chaspinicnc
95	50	0	o	c	initiale de section	oboseo
96	19	0	o	c	initiale de section	oicisbeo
97	15	0	o	c	initiale de section	oiklidoo
97	23	0	o	c	initiale de section	oikloidoo
97	10	8	c	o	finale morphologique	ciklamenc
97	28	6	c	o	finale morphologique	ciklonc
97	32	6	c	o	finale morphologique	ciklcpc
97	35	6	c	o	finale morphologique	ciklosc
97	53	6	c	o	finale morphologique	ciliarc
100	9	0	o	c	initiale de section	oirkonvalaciono
101	4	0	o	c	initiale de section	oitadelo
102	17	7	b	i	finale morphologique	bdahliab
103	14	5	I	r	finale morphologique	dansaI
