# Corrections de mots DANS LES DEFINITIONS, relevees a l'oeil ou par regle.
# Meme principe que vedetti.txt : une ligne par cas, le motif en regard.
# Le fac-simile garde la graphie de l'original ; c'est ici qu'on la redresse.
# La substitution ne porte que sur le mot entier, casse comprise.
# ancien	nouveau	motif
oijekti	objekti	b lu comme i : « objekto » est vedette, « oijekto » n'existe pas
memorer	memorar	p498 registro : pos «volas» l ido demandas la infinitivo prezenta ; «a» lu kom «e» esas la konfuzo maxim ordinara
mesurer	mezurar	meme motif ; « mezurar » est la vedette du dictionnaire, « mesurar » n'existe pas
# --- Consonne doublee : l'ido n'en a pas, hors frontiere de prefixe
# (dis-solvar, inter-ruptar, ad-duktar) et mots etrangers cites.
digesttala	digestala	p009 abdomino : la viceri digestala — t redouble
bbstanci	substanci	p013 adipocero : « nomo olima di tri substanci »
tillore	til lore	p145 entamar : « pri kozo til lore netushita » — deux mots soudes
quarcozz	quarcoza	p208 greso : « roko ek sabl-uni quarcoza »
ssociito	asociito	p296 kompanio : le sens dit lui-meme « o la asociiti »
esassquamoza	esas squamoza	p425 pangolino : « di qua la korpo esas squamoza » — deux mots soudes
frankki	franki	p468 procento : « Me kolokis 1000 franki »
konssistas	konsistas	p531 sharado : « enigmato qua konsistas ye divinar vorto »
tddanta	tedanta	p609 uf! : troisieme de la serie « sufriganta, peniganta, tedanta »
eempre	sempre	p513 rusko : « rami sempre verda, simila ad la asparagi »
fomme	forme	p513 rusho : « plisita forme di kupeti »
# --- Lignes amputees de leur premiere lettre au bord gauche du bloc.
# Verifiees une a une : sur 18 candidats detectes, 15 etaient de vrais mots
# ido que le test d'attestation ignorait (hoki, teli, juro, alti, rukti...).
ande	kande	p458 pomo : « la suko, kande fermantacinta, donas cidro »
# --- Corrections relevees par Gilles-Philippe Morin sur l'edition de lecture.
ii aDom	di mikra	p513 rusho : « plisita forme di mikra kupeti »
m mo roti	arboreti	p513 rusko : « arboreti sempre verda, simila ad la asparagi »
rmihmnna	rudimenta	p513 rusko : « kun folii rudimenta »
decen danto	decendanto	p394 mutaco : « qua eventas en decendanto di individuo normala »
edek	ed ek	p489 raso : « la ancestri ed ek la decendinti »
pos-turo	posturo	trait d'union parasite : « per adoptar posturo humila »
obhekto	objekto	j lu comme h : « la objekto di ta o ca penso »
# --- Coquilles des lignes retrouvees par la reparation du bas de page.
aubordino	subordino	p116 diciplinar : « la regulo di subordino e di ordino »
korpb	korpo	p116 diciplinar : « a la membri di korpo, di organismo »
DEFIES	DEFIRS	p116 diciplinar : aucun code ne repete une langue ; E y figure deux fois
D5	DE	p194 ganso : code de langues, 5 lu pour E
gipao	gipso	p366 masonar : « la induturi ek mortero, gipso »
(nuva)	(*nuva)	p404 : la senco III di «nova» distingesas kom *nuva ; en brokantar la «+» di la originalo suficas
